"Statistic","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 74 years","Male","Thousand","85.8"
"Seasonally Adjusted Monthly Unemployment","1998M03","15 - 74 years","Female","Thousand","63.8"
"Seasonally Adjusted Monthly Unemployment","1998M03","25 - 74 years","Both sexes","Thousand","97.8"
"Seasonally Adjusted Monthly Unemployment","1998M03","25 - 74 years","Male","Thousand","56.3"
"Seasonally Adjusted Monthly Unemployment","1998M03","25 - 74 years","Female","Thousand","41.5"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 24 years","Both sexes","Thousand","47.9"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 24 years","Male","Thousand","27"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 24 years","Female","Thousand","20.9"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 74 years","Both sexes","Thousand","140.1"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 74 years","Male","Thousand","80.9"
"Seasonally Adjusted Monthly Unemployment","1998M04","15 - 74 years","Female","Thousand","59.2"
"Seasonally Adjusted Monthly Unemployment","1998M04","25 - 74 years","Both sexes","Thousand","92.2"
"Seasonally Adjusted Monthly Unemployment","1998M04","25 - 74 years","Male","Thousand","53.9"
"Seasonally Adjusted Monthly Unemployment","1998M04","25 - 74 years","Female","Thousand","38.3"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 24 years","Both sexes","Thousand","45.4"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 24 years","Male","Thousand","25.6"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 24 years","Female","Thousand","19.7"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 74 years","Both sexes","Thousand","133.9"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 74 years","Male","Thousand","77.9"
"Seasonally Adjusted Monthly Unemployment","1998M05","15 - 74 years","Female","Thousand","56"
"Seasonally Adjusted Monthly Unemployment","1998M05","25 - 74 years","Both sexes","Thousand","88.5"
"Seasonally Adjusted Monthly Unemployment","1998M05","25 - 74 years","Male","Thousand","52.2"
"Seasonally Adjusted Monthly Unemployment","1998M05","25 - 74 years","Female","Thousand","36.3"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 24 years","Both sexes","Thousand","43.8"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 24 years","Male","Thousand","25.2"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 24 years","Female","Thousand","18.6"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 74 years","Both sexes","Thousand","130"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 74 years","Male","Thousand","76.6"
"Seasonally Adjusted Monthly Unemployment","1998M06","15 - 74 years","Female","Thousand","53.5"
"Seasonally Adjusted Monthly Unemployment","1998M06","25 - 74 years","Both sexes","Thousand","86.2"
"Seasonally Adjusted Monthly Unemployment","1998M06","25 - 74 years","Male","Thousand","51.4"
"Seasonally Adjusted Monthly Unemployment","1998M06","25 - 74 years","Female","Thousand","34.8"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 24 years","Both sexes","Thousand","42.2"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 24 years","Male","Thousand","24.6"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 24 years","Female","Thousand","17.6"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 74 years","Both sexes","Thousand","128"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 74 years","Male","Thousand","75.6"
"Seasonally Adjusted Monthly Unemployment","1998M07","15 - 74 years","Female","Thousand","52.3"
"Seasonally Adjusted Monthly Unemployment","1998M07","25 - 74 years","Both sexes","Thousand","85.7"
"Seasonally Adjusted Monthly Unemployment","1998M07","25 - 74 years","Male","Thousand","51"
"Seasonally Adjusted Monthly Unemployment","1998M07","25 - 74 years","Female","Thousand","34.7"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 24 years","Both sexes","Thousand","41.5"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 24 years","Male","Thousand","24.2"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 24 years","Female","Thousand","17.3"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 74 years","Both sexes","Thousand","125.3"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 74 years","Male","Thousand","74.1"
"Seasonally Adjusted Monthly Unemployment","1998M08","15 - 74 years","Female","Thousand","51.2"
"Seasonally Adjusted Monthly Unemployment","1998M08","25 - 74 years","Both sexes","Thousand","83.9"
"Seasonally Adjusted Monthly Unemployment","1998M08","25 - 74 years","Male","Thousand","49.9"
"Seasonally Adjusted Monthly Unemployment","1998M08","25 - 74 years","Female","Thousand","33.9"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 24 years","Both sexes","Thousand","41.4"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 24 years","Male","Thousand","24.1"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 24 years","Female","Thousand","17.3"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 74 years","Both sexes","Thousand","123.4"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 74 years","Male","Thousand","72.6"
"Seasonally Adjusted Monthly Unemployment","1998M09","15 - 74 years","Female","Thousand","50.8"
"Seasonally Adjusted Monthly Unemployment","1998M09","25 - 74 years","Both sexes","Thousand","82"
"Seasonally Adjusted Monthly Unemployment","1998M09","25 - 74 years","Male","Thousand","48.5"
"Seasonally Adjusted Monthly Unemployment","1998M09","25 - 74 years","Female","Thousand","33.5"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 24 years","Both sexes","Thousand","41"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 24 years","Male","Thousand","23.5"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 24 years","Female","Thousand","17.5"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 74 years","Both sexes","Thousand","118.5"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 74 years","Male","Thousand","69.3"
"Seasonally Adjusted Monthly Unemployment","1998M10","15 - 74 years","Female","Thousand","49.2"
"Seasonally Adjusted Monthly Unemployment","1998M10","25 - 74 years","Both sexes","Thousand","77.5"
"Seasonally Adjusted Monthly Unemployment","1998M10","25 - 74 years","Male","Thousand","45.8"
"Seasonally Adjusted Monthly Unemployment","1998M10","25 - 74 years","Female","Thousand","31.7"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 24 years","Both sexes","Thousand","40.5"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 24 years","Male","Thousand","22.8"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 24 years","Female","Thousand","17.7"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 74 years","Both sexes","Thousand","114.1"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 74 years","Male","Thousand","66.4"
"Seasonally Adjusted Monthly Unemployment","1998M11","15 - 74 years","Female","Thousand","47.8"
"Seasonally Adjusted Monthly Unemployment","1998M11","25 - 74 years","Both sexes","Thousand","73.7"
"Seasonally Adjusted Monthly Unemployment","1998M11","25 - 74 years","Male","Thousand","43.6"
"Seasonally Adjusted Monthly Unemployment","1998M11","25 - 74 years","Female","Thousand","30.1"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 24 years","Both sexes","Thousand","40.8"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 24 years","Male","Thousand","22.8"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 24 years","Female","Thousand","17.9"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 74 years","Both sexes","Thousand","113.5"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 74 years","Male","Thousand","65.5"
"Seasonally Adjusted Monthly Unemployment","1998M12","15 - 74 years","Female","Thousand","48.1"
"Seasonally Adjusted Monthly Unemployment","1998M12","25 - 74 years","Both sexes","Thousand","72.7"
"Seasonally Adjusted Monthly Unemployment","1998M12","25 - 74 years","Male","Thousand","42.6"
"Seasonally Adjusted Monthly Unemployment","1998M12","25 - 74 years","Female","Thousand","30.1"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 24 years","Both sexes","Thousand","39.9"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 24 years","Male","Thousand","22.7"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 24 years","Female","Thousand","17.2"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 74 years","Both sexes","Thousand","112.6"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 74 years","Male","Thousand","64.9"
"Seasonally Adjusted Monthly Unemployment","1999M01","15 - 74 years","Female","Thousand","47.7"
"Seasonally Adjusted Monthly Unemployment","1999M01","25 - 74 years","Both sexes","Thousand","72.7"
"Seasonally Adjusted Monthly Unemployment","1999M01","25 - 74 years","Male","Thousand","42.2"
"Seasonally Adjusted Monthly Unemployment","1999M01","25 - 74 years","Female","Thousand","30.5"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 24 years","Both sexes","Thousand","39.1"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 24 years","Male","Thousand","22.4"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 74 years","Both sexes","Thousand","110.4"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 74 years","Male","Thousand","63.9"
"Seasonally Adjusted Monthly Unemployment","1999M02","15 - 74 years","Female","Thousand","46.5"
"Seasonally Adjusted Monthly Unemployment","1999M02","25 - 74 years","Both sexes","Thousand","71.3"
"Seasonally Adjusted Monthly Unemployment","1999M02","25 - 74 years","Male","Thousand","41.5"
"Seasonally Adjusted Monthly Unemployment","1999M02","25 - 74 years","Female","Thousand","29.8"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 24 years","Both sexes","Thousand","38.7"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 24 years","Male","Thousand","22.1"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 24 years","Female","Thousand","16.6"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 74 years","Both sexes","Thousand","109.8"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 74 years","Male","Thousand","63.4"
"Seasonally Adjusted Monthly Unemployment","1999M03","15 - 74 years","Female","Thousand","46.4"
"Seasonally Adjusted Monthly Unemployment","1999M03","25 - 74 years","Both sexes","Thousand","71.1"
"Seasonally Adjusted Monthly Unemployment","1999M03","25 - 74 years","Male","Thousand","41.3"
"Seasonally Adjusted Monthly Unemployment","1999M03","25 - 74 years","Female","Thousand","29.8"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 24 years","Both sexes","Thousand","38.2"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 24 years","Male","Thousand","21.9"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 24 years","Female","Thousand","16.3"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 74 years","Both sexes","Thousand","108.8"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 74 years","Male","Thousand","63.2"
"Seasonally Adjusted Monthly Unemployment","1999M04","15 - 74 years","Female","Thousand","45.6"
"Seasonally Adjusted Monthly Unemployment","1999M04","25 - 74 years","Both sexes","Thousand","70.6"
"Seasonally Adjusted Monthly Unemployment","1999M04","25 - 74 years","Male","Thousand","41.2"
"Seasonally Adjusted Monthly Unemployment","1999M04","25 - 74 years","Female","Thousand","29.3"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 24 years","Both sexes","Thousand","37.9"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 24 years","Male","Thousand","21.5"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 24 years","Female","Thousand","16.4"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 74 years","Both sexes","Thousand","108.6"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 74 years","Male","Thousand","62.7"
"Seasonally Adjusted Monthly Unemployment","1999M05","15 - 74 years","Female","Thousand","45.9"
"Seasonally Adjusted Monthly Unemployment","1999M05","25 - 74 years","Both sexes","Thousand","70.6"
"Seasonally Adjusted Monthly Unemployment","1999M05","25 - 74 years","Male","Thousand","41.1"
"Seasonally Adjusted Monthly Unemployment","1999M05","25 - 74 years","Female","Thousand","29.5"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 24 years","Both sexes","Thousand","36.6"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 24 years","Male","Thousand","20.7"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 24 years","Female","Thousand","15.9"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 74 years","Both sexes","Thousand","104.6"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 74 years","Male","Thousand","60.5"
"Seasonally Adjusted Monthly Unemployment","1999M06","15 - 74 years","Female","Thousand","44.1"
"Seasonally Adjusted Monthly Unemployment","1999M06","25 - 74 years","Both sexes","Thousand","68"
"Seasonally Adjusted Monthly Unemployment","1999M06","25 - 74 years","Male","Thousand","39.8"
"Seasonally Adjusted Monthly Unemployment","1999M06","25 - 74 years","Female","Thousand","28.2"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 24 years","Both sexes","Thousand","35.2"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 24 years","Male","Thousand","19.8"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 24 years","Female","Thousand","15.5"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 74 years","Both sexes","Thousand","100.4"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 74 years","Male","Thousand","57.9"
"Seasonally Adjusted Monthly Unemployment","1999M07","15 - 74 years","Female","Thousand","42.5"
"Seasonally Adjusted Monthly Unemployment","1999M07","25 - 74 years","Both sexes","Thousand","65.1"
"Seasonally Adjusted Monthly Unemployment","1999M07","25 - 74 years","Male","Thousand","38.1"
"Seasonally Adjusted Monthly Unemployment","1999M07","25 - 74 years","Female","Thousand","27"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 24 years","Both sexes","Thousand","34.2"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 24 years","Male","Thousand","19.1"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 24 years","Female","Thousand","15.1"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 74 years","Both sexes","Thousand","96.7"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 74 years","Male","Thousand","55.2"
"Seasonally Adjusted Monthly Unemployment","1999M08","15 - 74 years","Female","Thousand","41.5"
"Seasonally Adjusted Monthly Unemployment","1999M08","25 - 74 years","Both sexes","Thousand","62.5"
"Seasonally Adjusted Monthly Unemployment","1999M08","25 - 74 years","Male","Thousand","36.1"
"Seasonally Adjusted Monthly Unemployment","1999M08","25 - 74 years","Female","Thousand","26.4"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 24 years","Both sexes","Thousand","34.2"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 24 years","Male","Thousand","19.3"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 24 years","Female","Thousand","14.9"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 74 years","Both sexes","Thousand","97.6"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 74 years","Male","Thousand","55"
"Seasonally Adjusted Monthly Unemployment","1999M09","15 - 74 years","Female","Thousand","42.6"
"Seasonally Adjusted Monthly Unemployment","1999M09","25 - 74 years","Both sexes","Thousand","63.3"
"Seasonally Adjusted Monthly Unemployment","1999M09","25 - 74 years","Male","Thousand","35.6"
"Seasonally Adjusted Monthly Unemployment","1999M09","25 - 74 years","Female","Thousand","27.7"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 24 years","Both sexes","Thousand","33.2"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 24 years","Male","Thousand","19.1"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 24 years","Female","Thousand","14.1"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 74 years","Both sexes","Thousand","98.1"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 74 years","Male","Thousand","54.4"
"Seasonally Adjusted Monthly Unemployment","1999M10","15 - 74 years","Female","Thousand","43.7"
"Seasonally Adjusted Monthly Unemployment","1999M10","25 - 74 years","Both sexes","Thousand","64.8"
"Seasonally Adjusted Monthly Unemployment","1999M10","25 - 74 years","Male","Thousand","35.3"
"Seasonally Adjusted Monthly Unemployment","1999M10","25 - 74 years","Female","Thousand","29.6"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 24 years","Both sexes","Thousand","32.5"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 24 years","Male","Thousand","18.6"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 24 years","Female","Thousand","13.9"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 74 years","Both sexes","Thousand","96.3"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 74 years","Male","Thousand","53.3"
"Seasonally Adjusted Monthly Unemployment","1999M11","15 - 74 years","Female","Thousand","43"
"Seasonally Adjusted Monthly Unemployment","1999M11","25 - 74 years","Both sexes","Thousand","63.8"
"Seasonally Adjusted Monthly Unemployment","1999M11","25 - 74 years","Male","Thousand","34.6"
"Seasonally Adjusted Monthly Unemployment","1999M11","25 - 74 years","Female","Thousand","29.2"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 24 years","Both sexes","Thousand","31.7"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 24 years","Male","Thousand","17.9"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 24 years","Female","Thousand","13.8"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 74 years","Both sexes","Thousand","93.9"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 74 years","Male","Thousand","52.1"
"Seasonally Adjusted Monthly Unemployment","1999M12","15 - 74 years","Female","Thousand","41.8"
"Seasonally Adjusted Monthly Unemployment","1999M12","25 - 74 years","Both sexes","Thousand","62.2"
"Seasonally Adjusted Monthly Unemployment","1999M12","25 - 74 years","Male","Thousand","34.2"
"Seasonally Adjusted Monthly Unemployment","1999M12","25 - 74 years","Female","Thousand","28"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 24 years","Both sexes","Thousand","31.2"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 24 years","Male","Thousand","17.2"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 24 years","Female","Thousand","14.1"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 74 years","Both sexes","Thousand","90.2"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 74 years","Male","Thousand","50.7"
"Seasonally Adjusted Monthly Unemployment","2000M01","15 - 74 years","Female","Thousand","39.6"
"Seasonally Adjusted Monthly Unemployment","2000M01","25 - 74 years","Both sexes","Thousand","59"
"Seasonally Adjusted Monthly Unemployment","2000M01","25 - 74 years","Male","Thousand","33.5"
"Seasonally Adjusted Monthly Unemployment","2000M01","25 - 74 years","Female","Thousand","25.5"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 24 years","Both sexes","Thousand","30.5"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 24 years","Male","Thousand","16.3"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 24 years","Female","Thousand","14.3"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 74 years","Both sexes","Thousand","87.5"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 74 years","Male","Thousand","49.1"
"Seasonally Adjusted Monthly Unemployment","2000M02","15 - 74 years","Female","Thousand","38.4"
"Seasonally Adjusted Monthly Unemployment","2000M02","25 - 74 years","Both sexes","Thousand","57"
"Seasonally Adjusted Monthly Unemployment","2000M02","25 - 74 years","Male","Thousand","32.9"
"Seasonally Adjusted Monthly Unemployment","2000M02","25 - 74 years","Female","Thousand","24.1"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 24 years","Both sexes","Thousand","29.9"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 24 years","Male","Thousand","16"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 24 years","Female","Thousand","13.9"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 74 years","Both sexes","Thousand","85.5"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 74 years","Male","Thousand","48"
"Seasonally Adjusted Monthly Unemployment","2000M03","15 - 74 years","Female","Thousand","37.5"
"Seasonally Adjusted Monthly Unemployment","2000M03","25 - 74 years","Both sexes","Thousand","55.6"
"Seasonally Adjusted Monthly Unemployment","2000M03","25 - 74 years","Male","Thousand","32"
"Seasonally Adjusted Monthly Unemployment","2000M03","25 - 74 years","Female","Thousand","23.5"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 24 years","Both sexes","Thousand","29.9"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 24 years","Male","Thousand","16.2"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 24 years","Female","Thousand","13.7"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 74 years","Both sexes","Thousand","87.1"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 74 years","Male","Thousand","47.9"
"Seasonally Adjusted Monthly Unemployment","2000M04","15 - 74 years","Female","Thousand","39.1"
"Seasonally Adjusted Monthly Unemployment","2000M04","25 - 74 years","Both sexes","Thousand","57.2"
"Seasonally Adjusted Monthly Unemployment","2000M04","25 - 74 years","Male","Thousand","31.7"
"Seasonally Adjusted Monthly Unemployment","2000M04","25 - 74 years","Female","Thousand","25.4"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 24 years","Both sexes","Thousand","29.2"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 24 years","Male","Thousand","16.1"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 24 years","Female","Thousand","13"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 74 years","Both sexes","Thousand","85.2"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 74 years","Male","Thousand","47.2"
"Seasonally Adjusted Monthly Unemployment","2000M05","15 - 74 years","Female","Thousand","38"
"Seasonally Adjusted Monthly Unemployment","2000M05","25 - 74 years","Both sexes","Thousand","56"
"Seasonally Adjusted Monthly Unemployment","2000M05","25 - 74 years","Male","Thousand","31.1"
"Seasonally Adjusted Monthly Unemployment","2000M05","25 - 74 years","Female","Thousand","24.9"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 24 years","Both sexes","Thousand","28.8"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 24 years","Male","Thousand","16.1"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 24 years","Female","Thousand","12.7"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 74 years","Both sexes","Thousand","83.7"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 74 years","Male","Thousand","46.5"
"Seasonally Adjusted Monthly Unemployment","2000M06","15 - 74 years","Female","Thousand","37.1"
"Seasonally Adjusted Monthly Unemployment","2000M06","25 - 74 years","Both sexes","Thousand","54.9"
"Seasonally Adjusted Monthly Unemployment","2000M06","25 - 74 years","Male","Thousand","30.4"
"Seasonally Adjusted Monthly Unemployment","2000M06","25 - 74 years","Female","Thousand","24.4"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 24 years","Both sexes","Thousand","28.6"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 24 years","Male","Thousand","16.2"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 24 years","Female","Thousand","12.4"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 74 years","Both sexes","Thousand","81.2"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 74 years","Male","Thousand","45.8"
"Seasonally Adjusted Monthly Unemployment","2000M07","15 - 74 years","Female","Thousand","35.3"
"Seasonally Adjusted Monthly Unemployment","2000M07","25 - 74 years","Both sexes","Thousand","52.6"
"Seasonally Adjusted Monthly Unemployment","2000M07","25 - 74 years","Male","Thousand","29.6"
"Seasonally Adjusted Monthly Unemployment","2000M07","25 - 74 years","Female","Thousand","22.9"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 24 years","Both sexes","Thousand","28.2"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 24 years","Male","Thousand","16"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 24 years","Female","Thousand","12.2"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 74 years","Both sexes","Thousand","79.1"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 74 years","Male","Thousand","45.1"
"Seasonally Adjusted Monthly Unemployment","2000M08","15 - 74 years","Female","Thousand","34"
"Seasonally Adjusted Monthly Unemployment","2000M08","25 - 74 years","Both sexes","Thousand","50.9"
"Seasonally Adjusted Monthly Unemployment","2000M08","25 - 74 years","Male","Thousand","29.1"
"Seasonally Adjusted Monthly Unemployment","2000M08","25 - 74 years","Female","Thousand","21.8"
"Seasonally Adjusted Monthly Unemployment","2000M09","15 - 24 years","Both sexes","Thousand","27.3"
"Seasonally Adjusted Monthly Unemployment","2000M09","15 - 24 years","Male","Thousand","15.3"
"Seasonally Adjusted Monthly Unemployment","2000M09","15 - 24 years","Female","Thousand","12"
