"Statistic","Month","Age Group","Sex","Lower and Upper Bound","UNIT","VALUE"
"Number of persons out of work","2020M09","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","180451"
"Number of persons out of work","2020M09","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","115526"
"Number of persons out of work","2020M09","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","285044"
"Number of persons out of work","2020M09","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","59777"
"Number of persons out of work","2020M09","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","152677"
"Number of persons out of work","2020M09","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","55749"
"Number of persons out of work","2020M09","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","132367"
"Number of persons out of work","2020M10","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","40404"
"Number of persons out of work","2020M10","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","127813"
"Number of persons out of work","2020M10","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","21001"
"Number of persons out of work","2020M10","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","61356"
"Number of persons out of work","2020M10","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","19403"
"Number of persons out of work","2020M10","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","66457"
"Number of persons out of work","2020M10","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","143780"
"Number of persons out of work","2020M10","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","489078"
"Number of persons out of work","2020M10","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","78844"
"Number of persons out of work","2020M10","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","249876"
"Number of persons out of work","2020M10","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","64936"
"Number of persons out of work","2020M10","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","239202"
"Number of persons out of work","2020M10","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","103376"
"Number of persons out of work","2020M10","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","361265"
"Number of persons out of work","2020M10","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","57843"
"Number of persons out of work","2020M10","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","188520"
"Number of persons out of work","2020M10","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","45533"
"Number of persons out of work","2020M10","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","172745"
"Number of persons out of work","2020M11","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","35397"
"Number of persons out of work","2020M11","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","125323"
"Number of persons out of work","2020M11","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","17119"
"Number of persons out of work","2020M11","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","58897"
"Number of persons out of work","2020M11","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","18278"
"Number of persons out of work","2020M11","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","66426"
"Number of persons out of work","2020M11","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","137161"
"Number of persons out of work","2020M11","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","490822"
"Number of persons out of work","2020M11","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","76716"
"Number of persons out of work","2020M11","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","252662"
"Number of persons out of work","2020M11","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","60445"
"Number of persons out of work","2020M11","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","238160"
"Number of persons out of work","2020M11","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","101764"
"Number of persons out of work","2020M11","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","365499"
"Number of persons out of work","2020M11","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","59597"
"Number of persons out of work","2020M11","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","193765"
"Number of persons out of work","2020M11","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","42167"
"Number of persons out of work","2020M11","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","171734"
"Number of persons out of work","2020M12","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","34226"
"Number of persons out of work","2020M12","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","128074"
"Number of persons out of work","2020M12","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","15947"
"Number of persons out of work","2020M12","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","60962"
"Number of persons out of work","2020M12","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","18279"
"Number of persons out of work","2020M12","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","67112"
"Number of persons out of work","2020M12","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","144205"
"Number of persons out of work","2020M12","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","519048"
"Number of persons out of work","2020M12","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","80726"
"Number of persons out of work","2020M12","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","275039"
"Number of persons out of work","2020M12","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","63479"
"Number of persons out of work","2020M12","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","244009"
"Number of persons out of work","2020M12","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","109979"
"Number of persons out of work","2020M12","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","390974"
"Number of persons out of work","2020M12","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","64779"
"Number of persons out of work","2020M12","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","214077"
"Number of persons out of work","2020M12","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","45200"
"Number of persons out of work","2020M12","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","176897"
"Number of persons out of work","2021M01","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","37499"
"Number of persons out of work","2021M01","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","153012"
"Number of persons out of work","2021M01","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","17701"
"Number of persons out of work","2021M01","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","75779"
"Number of persons out of work","2021M01","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","19798"
"Number of persons out of work","2021M01","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","77233"
"Number of persons out of work","2021M01","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","160043"
"Number of persons out of work","2021M01","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","645504"
"Number of persons out of work","2021M01","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","88794"
"Number of persons out of work","2021M01","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","357847"
"Number of persons out of work","2021M01","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","71249"
"Number of persons out of work","2021M01","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","287657"
"Number of persons out of work","2021M01","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","122544"
"Number of persons out of work","2021M01","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","492492"
"Number of persons out of work","2021M01","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","71093"
"Number of persons out of work","2021M01","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","282068"
"Number of persons out of work","2021M01","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","51451"
"Number of persons out of work","2021M01","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","210424"
"Number of persons out of work","2021M02","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","40629"
"Number of persons out of work","2021M02","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","152359"
"Number of persons out of work","2021M02","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","19151"
"Number of persons out of work","2021M02","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","74896"
"Number of persons out of work","2021M02","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","21478"
"Number of persons out of work","2021M02","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","77463"
"Number of persons out of work","2021M02","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","173724"
"Number of persons out of work","2021M02","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","644379"
"Number of persons out of work","2021M02","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","95017"
"Number of persons out of work","2021M02","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","353917"
"Number of persons out of work","2021M02","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","78707"
"Number of persons out of work","2021M02","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","290462"
"Number of persons out of work","2021M02","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","133095"
"Number of persons out of work","2021M02","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","492020"
"Number of persons out of work","2021M02","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","75866"
"Number of persons out of work","2021M02","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","279021"
"Number of persons out of work","2021M02","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","57229"
"Number of persons out of work","2021M02","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","212999"
"Number of persons out of work","2021M03","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","41549"
"Number of persons out of work","2021M03","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","146752"
"Number of persons out of work","2021M03","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","19572"
"Number of persons out of work","2021M03","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","71600"
"Number of persons out of work","2021M03","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","21977"
"Number of persons out of work","2021M03","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","75152"
"Number of persons out of work","2021M03","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","177545"
"Number of persons out of work","2021M03","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","612443"
"Number of persons out of work","2021M03","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","96692"
"Number of persons out of work","2021M03","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","333278"
"Number of persons out of work","2021M03","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","80853"
"Number of persons out of work","2021M03","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","279165"
"Number of persons out of work","2021M03","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","135996"
"Number of persons out of work","2021M03","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","465691"
"Number of persons out of work","2021M03","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","77120"
"Number of persons out of work","2021M03","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","261678"
"Number of persons out of work","2021M03","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","58876"
"Number of persons out of work","2021M03","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","204013"
"Number of persons out of work","2021M04","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","42161"
"Number of persons out of work","2021M04","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","137620"
"Number of persons out of work","2021M04","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","19256"
"Number of persons out of work","2021M04","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","65247"
"Number of persons out of work","2021M04","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","22905"
"Number of persons out of work","2021M04","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","72373"
"Number of persons out of work","2021M04","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","178842"
"Number of persons out of work","2021M04","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","564059"
"Number of persons out of work","2021M04","15 - 74 years","Male","Lower Bound (Traditional MUR)","Number","96275"
"Number of persons out of work","2021M04","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","297577"
"Number of persons out of work","2021M04","15 - 74 years","Female","Lower Bound (Traditional MUR)","Number","82567"
"Number of persons out of work","2021M04","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","266482"
"Number of persons out of work","2021M04","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","136681"
"Number of persons out of work","2021M04","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","426439"
"Number of persons out of work","2021M04","25 - 74 years","Male","Lower Bound (Traditional MUR)","Number","77019"
"Number of persons out of work","2021M04","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","232330"
"Number of persons out of work","2021M04","25 - 74 years","Female","Lower Bound (Traditional MUR)","Number","59662"
"Number of persons out of work","2021M04","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","194109"
"Number of persons out of work","2021M05","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","Number","41537"
"Number of persons out of work","2021M05","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","121778"
"Number of persons out of work","2021M05","15 - 24 years","Male","Lower Bound (Traditional MUR)","Number","18753"
"Number of persons out of work","2021M05","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","Number","58382"
"Number of persons out of work","2021M05","15 - 24 years","Female","Lower Bound (Traditional MUR)","Number","22784"
"Number of persons out of work","2021M05","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","Number","63396"
"Number of persons out of work","2021M05","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","Number","177607"
"Number of persons out of work","2021M05","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","Number","487122"
